Hall,Category,Time,Dish,Calories,Serving Size,AutoCategory,FinalCategory
Huffman,Lunch,(11:30am-2pm),Pumpkin Pie Ice Cream,260,0.5 cup,dessert,dessert
Huffman,Lunch,(11:30am-2pm),Rainbow Sherbet,170,0.5 cup,other,dessert
Huffman,Lunch,(11:30am-2pm),Raspberry Fudge Cordial Ice Cream,290,0.5 cup,dessert,dessert
Huffman,Lunch,(11:30am-2pm),Strawberry Ice Cream,230,1 serving,dessert,dessert
Huffman,Lunch,(11:30am-2pm),Strawberry Cheesecake Ice Cream,260,0.5 cup,dessert,dessert
Huffman,Lunch,(11:30am-2pm),Summertime Peach Ice Cream,240,0.5 cup,dessert,dessert
Huffman,Lunch,(11:30am-2pm),Triple Chocolate Chunk Ice Cream,320,0.5 cup,dessert,dessert
Huffman,Lunch,(11:30am-2pm),Vanilla Ice Cream,260,0.5 cup,dessert,dessert
Huffman,Lunch,(11:30am-2pm),Pretzel Sticks,0,1 serving,other,other
Huffman,Lunch,(11:30am-2pm),Graham Cracker Crumbs,30,1 tbsp,other,other
Huffman,Lunch,(11:30am-2pm),Oreo Cookie Crumbs,70,2 tbsp,dessert,dessert
Huffman,Lunch,(11:30am-2pm),Rainbow Sprinkles,60,1 tbsp,other,other
Huffman,Lunch,(11:30am-2pm),Hershey's Chocolate Syrup,180,2 floz,other,other
Huffman,Lunch,(11:30am-2pm),Caramel  Sauce,100,1 floz,other,other
Huffman,Dinner,(5pm-9pm),Romaine Lettuce,15,1 cup,other,side
Huffman,Dinner,(5pm-9pm),Baby Spinach,15,1 cup,other,side
Huffman,Dinner,(5pm-9pm),Chilled Quinoa,130,0.5 cup,other,side
Huffman,Dinner,(5pm-9pm),Grape Tomatoes,15,0.5 cup,other,side
Huffman,Dinner,(5pm-9pm),Sliced Cucumber,10,0.5 cup,other,side
Huffman,Dinner,(5pm-9pm),Shredded Carrots,25,2 oz,other,side
Huffman,Dinner,(5pm-9pm),Sliced Red Onions,15,1 oz,other,side
Huffman,Dinner,(5pm-9pm),Sliced Bell Peppers,10,1 oz,other,side
Huffman,Dinner,(5pm-9pm),Sliced Black Olives,0,2 tbsp,other,side
Huffman,Dinner,(5pm-9pm),Roasted Edamame,170,0.5 cup,other,side
Huffman,Dinner,(5pm-9pm),Pickled Beets,60,1 oz,other,side
Huffman,Dinner,(5pm-9pm),Fresh Broccoli Florets,20,0.5 cup,other,side
Huffman,Dinner,(5pm-9pm),Roasted Brussels Sprouts,45,0.5 cup,other,side
Huffman,Dinner,(5pm-9pm),Crispy Chickpeas,60,0.5 oz,other,side
Huffman,Dinner,(5pm-9pm),Diced Chicken,180,3.75 oz,main,main
Huffman,Dinner,(5pm-9pm),Roasted Tofu,160,3 oz,main,main
Huffman,Dinner,(5pm-9pm),Hard-Boiled Eggs,60,1 egg,main,side
Huffman,Dinner,(5pm-9pm),Shredded Cheddar Cheese,120,0.25 cup,other,side
Huffman,Dinner,(5pm-9pm),Homestyle Egg Salad,270,4 oz,main,main
Huffman,Dinner,(5pm-9pm),Antispasto Pasta Salad,240,5 oz,main,main
Huffman,Dinner,(5pm-9pm),House Made Honey Mustard,130,1 tbsp,other,other
Huffman,Dinner,(5pm-9pm),Herb Ranch Dressing,80,1 floz,other,other
Huffman,Dinner,(5pm-9pm),Raspberry Vinaigrette,0,2 tbsp,other,other
Huffman,Dinner,(5pm-9pm),Italian Dressing,280,1 serving,other,other
Huffman,Dinner,(5pm-9pm),Nonfat Vanilla Greek Yogurt,90,0.5 cup,other,side
Huffman,Dinner,(5pm-9pm),Nonfat Plain Greek Yogurt,100,0.75 cup,other,side
Huffman,Dinner,(5pm-9pm),Nonfat Strawberry Greek Yogurt,180,1 cup,other,side
Huffman,Dinner,(5pm-9pm),Cottage Cheese,90,0.5 cup,other,side
Huffman,Dinner,(5pm-9pm),Cinnamon Brown Sugar Granola,370,0.5 cup,other,other
Huffman,Dinner,(5pm-9pm),Pumpkin Seeds,160,2 tbsp,other,other
Huffman,Dinner,(5pm-9pm),Chia Seeds,70,1.5 tbsp,other,other
Huffman,Dinner,(5pm-9pm),Red & Green Grapes,60,0.5 cup,other,side
Huffman,Dinner,(5pm-9pm),Cantaloupe,30,0.5 cup,other,side
Huffman,Dinner,(5pm-9pm),Pineapple Chunks,70,4 oz,other,side
Huffman,Dinner,(5pm-9pm),Honeydew Melon,35,0.5 cup,other,side
Huffman,Dinner,(5pm-9pm),Roast Beef,130,3 oz,main,main
Huffman,Dinner,(5pm-9pm),French Dip Au Jus,15,2 floz,other,other
Huffman,Dinner,(5pm-9pm),Garlic Roasted Broccoli,50,0.5 cup,other,other
Huffman,Dinner,(5pm-9pm),Baked Peas,190,0.5 cup,other,other
Huffman,Dinner,(5pm-9pm),Dinner Rolls,130,1 each,other,other
Huffman,Dinner,(5pm-9pm),Butter,100,1 tbsp,other,other
Huffman,Dinner,(5pm-9pm),Mexican Smashed Potatoes,120,0.5 cup,side,side
Huffman,Dinner,(5pm-9pm),Beef Cadillo,90,4 oz,main,main
Huffman,Dinner,(5pm-9pm),Pepperoni Pizza,260,1 slice,other,main
Huffman,Dinner,(5pm-9pm),Cheese Pizza,240,1 slice,other,main
Huffman,Dinner,(5pm-9pm),Vegetable Pizza,270,1 slice,side,side
Huffman,Dinner,(5pm-9pm),Beef Barley Soup,120,6 floz,main,main
Huffman,Dinner,(5pm-9pm),Cream of Mushroom Soup,150,6 floz,main,main
Huffman,Dinner,(5pm-9pm),Smash Burger,590,6 oz,main,main
Huffman,Dinner,(5pm-9pm),Seasoned Turkey Burger,260,1 each,main,main
Huffman,Dinner,(5pm-9pm),Grilled Seasoned Chicken Breast,270,1 each,main,main
Huffman,Dinner,(5pm-9pm),Beyond Burger Patty,240,1 patty,main,main
Huffman,Dinner,(5pm-9pm),Black Bean Burger,180,,main,main
Huffman,Dinner,(5pm-9pm),Potato Roll,220,1 each,side,side
Huffman,Dinner,(5pm-9pm),Bacon Onion Jam,130,2 tbsp,main,main
Huffman,Dinner,(5pm-9pm),Grilled Red Onions,25,0.25 cup,other,other
Huffman,Dinner,(5pm-9pm),Fire Roasted Jalapenos,25,1 oz,other,side
Huffman,Dinner,(5pm-9pm),American Cheese,50,1 slice,other,side
Huffman,Dinner,(5pm-9pm),Leaf Lettuce,0,1 leaf,other,side
Huffman,Dinner,(5pm-9pm),Sliced Yellow Onion,15,1 oz,other,side
Huffman,Dinner,(5pm-9pm),Sliced Tomatoes,10,2 slice,other,side
Huffman,Dinner,(5pm-9pm),Dill Pickle Slices,30,1 oz,other,side
Huffman,Dinner,(5pm-9pm),Sliced Pepperjack Cheese,80,1 slice,other,side
Huffman,Dinner,(5pm-9pm),Philly Cheesesteak,500,1 sandwich,beverage,beverage
Huffman,Dinner,(5pm-9pm),Sauteed Red & Green Peppers,50,0.5 cup,other,other
Huffman,Dinner,(5pm-9pm),Sauteed Onions,60,0.5 cup,other,other
Huffman,Dinner,(5pm-9pm),Crispy French Fries,250,4.5 oz,side,side
Huffman,Dinner,(5pm-9pm),Pesto Caprese Sub,580,1 each,other,other
Huffman,Dinner,(5pm-9pm),Green Beans Almondine,60,0.5 cup,side,side
Huffman,Dinner,(5pm-9pm),Roasted Garlic & Parmesan Potatoes,180,0.5 cup,side,side
Huffman,Dinner,(5pm-9pm),Parslied Grape Tomatoes,80,0.5 cup,other,other
Huffman,Dinner,(5pm-9pm),Roasted Red Pepper Hummus,70,0.25 cup,other,other
Huffman,Dinner,(5pm-9pm),Mediterranean Lentil Salad,210,1 servings,side,side
Huffman,Dinner,(5pm-9pm),Za'atar Grilled Pita,70,1 qtr wedge,other,other
Huffman,Dinner,(5pm-9pm),Seasoned Shrimp,80,3 oz,other,other
Huffman,Dinner,(5pm-9pm),White Rice,120,0.5 cup,side,side
Huffman,Dinner,(5pm-9pm),Brown Rice,110,0.5 cup,side,side
Huffman,Dinner,(5pm-9pm),Tofu Curry,300,8 floz,main,main
Huffman,Dinner,(5pm-9pm),Broccoli with Garlic,45,0.5 cup,other,other
Huffman,Dinner,(5pm-9pm),Togarashi,25,1 tbsp,other,other
Huffman,Dinner,(5pm-9pm),Tuxedo Sesame Seeds,0,1 tbsp,other,other
Huffman,Dinner,(5pm-9pm),MTO Furikake Seasoning,0,,other,other
Huffman,Dinner,(5pm-9pm),Nori Sheets,10,1 serving,other,other
Huffman,Dinner,(5pm-9pm),Chow Mein Noodles,130,0.5 cup,other,other
Huffman,Dinner,(5pm-9pm),Fresh Scallions,0,1 tbsp,other,other
Huffman,Dinner,(5pm-9pm),Pickled Red Onion,25,0.25 cup,other,other
Huffman,Dinner,(5pm-9pm),Sambal Oelek Chili Sauce,0,1 tsp,other,other
Huffman,Dinner,(5pm-9pm),Sweet Soy Marinade,50,1 floz,other,other
Huffman,Dinner,(5pm-9pm),Tamari Soy Sauce,10,1 tbsp,other,other
