Hall,Category,Time,Dish,Calories,Serving Size,Station,FinalStation,Role
Huffman,Lunch,(11:30am-2pm),Chilled Quinoa,130,0.5 cup,produce market,byo_salad,unknown
Huffman,Lunch,(11:30am-2pm),Grape Tomatoes,15,0.5 cup,produce market,byo_salad,veg_topping
Huffman,Lunch,(11:30am-2pm),Sliced Cucumber,10,0.5 cup,produce market,byo_salad,veg_topping
Huffman,Lunch,(11:30am-2pm),Shredded Carrots,25,2 oz,produce market,byo_salad,veg_topping
Huffman,Lunch,(11:30am-2pm),Sliced Red Onions,15,1 oz,produce market,byo_salad,veg_topping
Huffman,Lunch,(11:30am-2pm),Sliced Bell Peppers,10,1 oz,produce market,byo_salad,veg_topping
Huffman,Lunch,(11:30am-2pm),Sliced Black Olives,0,2 tbsp,produce market,byo_salad,extra
Huffman,Lunch,(11:30am-2pm),Hot Cherry Peppers,10,1 oz,produce market,byo_salad,veg_topping
Huffman,Lunch,(11:30am-2pm),Diced Chicken,170,3.75 oz,produce market,byo_salad,protein
Huffman,Lunch,(11:30am-2pm),Roasted Tofu,120,3 oz,produce market,byo_salad,protein
Huffman,Lunch,(11:30am-2pm),Roasted Edamame,170,0.5 cup,produce market,byo_salad,unknown
Huffman,Lunch,(11:30am-2pm),Crispy Chickpeas,60,0.5 oz,produce market,byo_salad,protein
Huffman,Lunch,(11:30am-2pm),Hard-Boiled Eggs,60,1 egg,produce market,byo_salad,dressing
Huffman,Lunch,(11:30am-2pm),Shredded Cheddar Cheese,120,0.25 cup,produce market,byo_salad,extra
Huffman,Lunch,(11:30am-2pm),Feta Cheese Crumbles,80,2 tbsp,produce market,byo_salad,extra
Huffman,Lunch,(11:30am-2pm),Housemade Seasoned Croutons,160,1 oz,produce market,byo_salad,unknown
Huffman,Lunch,(11:30am-2pm),Pumpkin Seeds,0,2 tbsp,produce market,byo_salad,extra
Huffman,Lunch,(11:30am-2pm),Sunflower Seeds,110,2 tbsp,produce market,byo_salad,extra
Huffman,Lunch,(11:30am-2pm),Golden Raisins,130,0.25 cup,produce market,byo_salad,unknown
Huffman,Lunch,(11:30am-2pm),Dried Cranberries,70,2 tbsp,produce market,byo_salad,unknown
Huffman,Lunch,(11:30am-2pm),Tuna Salad,280,4 oz,produce market special,byo_salad,protein
Huffman,Lunch,(11:30am-2pm),Roasted Brussels Sprouts,80,0.5 cup,produce market special,byo_salad,veg_topping
Huffman,Lunch,(11:30am-2pm),House Made Honey Mustard,120,1 tbsp,produce market / dressings,byo_salad,unknown
Huffman,Lunch,(11:30am-2pm),Herb Ranch Dressing,80,1 floz,produce market / dressings,byo_salad,dressing
Huffman,Lunch,(11:30am-2pm),Italian Dressing,260,1 serving,produce market / dressings,byo_salad,dressing
Huffman,Lunch,(11:30am-2pm),Herbed Balsamic Vinaigrette,25,1 floz,produce market / dressings,byo_salad,dressing
Huffman,Lunch,(11:30am-2pm),Maple Cider Vinaigrette,250,2 floz,produce market / dressings,byo_salad,dressing
Huffman,Lunch,(11:30am-2pm),Raspberry Vinaigrette,30,2 tbsp,produce market / dressings,byo_salad,dressing
Huffman,Lunch,(11:30am-2pm),Nonfat Vanilla Greek Yogurt,170,1 cup,fruit & yogurt bar,byo_breakfast,base
Huffman,Lunch,(11:30am-2pm),Nonfat Plain Greek Yogurt,0,0.5 cup,fruit & yogurt bar,byo_breakfast,base
Huffman,Lunch,(11:30am-2pm),Cottage Cheese,90,0.5 cup,fruit & yogurt bar,byo_breakfast,extra
Huffman,Lunch,(11:30am-2pm),Fresh Pineapple,60,4 oz,fruit & yogurt bar,byo_breakfast,topping
Huffman,Lunch,(11:30am-2pm),Peaches,60,0.5 cup,fruit & yogurt bar,byo_breakfast,unknown
Huffman,Lunch,(11:30am-2pm),Red Grapes,60,0.5 cup,fruit & yogurt bar,byo_breakfast,topping
Huffman,Lunch,(11:30am-2pm),Cinnamon Brown Sugar Granola,370,0.5 cup,fruit & yogurt bar,byo_breakfast,topping
Huffman,Lunch,(11:30am-2pm),Pumpkin Seeds,0,2 tbsp,fruit & yogurt bar,byo_breakfast,extra
Huffman,Lunch,(11:30am-2pm),Chia Seeds,70,1.5 tbsp,fruit & yogurt bar,byo_breakfast,extra
Huffman,Lunch,(11:30am-2pm),Toasted Coconut,80,2 tbsp,fruit & yogurt bar,byo_breakfast,base
Huffman,Lunch,(11:30am-2pm),Sugar Cookie,130,1 each,sweets & treats,dessert_beverage,dessert
Huffman,Lunch,(11:30am-2pm),Housemade Chocolate Chip Cookies,150,1 each,sweets & treats,dessert_beverage,dessert
Huffman,Lunch,(11:30am-2pm),Crunchy S'mores Bar,280,1 each,sweets & treats,dessert_beverage,topping
Huffman,Lunch,(11:30am-2pm),Chef's Special,0,,sweets & treats,dessert_beverage,topping
Huffman,Lunch,(11:30am-2pm),Plain Bagel,370,,toasted,byo_breakfast,base
Huffman,Lunch,(11:30am-2pm),Everything Bagel,310,1 each,toasted,byo_breakfast,base
Huffman,Lunch,(11:30am-2pm),Cinnamon Raisin Bagel,230,,toasted,byo_breakfast,base
Huffman,Lunch,(11:30am-2pm),Whole Wheat Bread,80,,toasted,byo_breakfast,base
Huffman,Lunch,(11:30am-2pm),White Bread,150,1 slice,toasted,byo_breakfast,base
Huffman,Lunch,(11:30am-2pm),Marble Rye Bread,220,2 slice,toasted,byo_breakfast,base
Huffman,Lunch,(11:30am-2pm),English Muffin,110,,toasted,byo_breakfast,unknown
Huffman,Lunch,(11:30am-2pm),English Muffin,110,,toasted,byo_breakfast,unknown
Huffman,Lunch,(11:30am-2pm),Made Without Gluten Bread,150,1 slice,toasted,byo_breakfast,base
Huffman,Lunch,(11:30am-2pm),Made without Gluten Bagel,270,,toasted,byo_breakfast,base
Huffman,Lunch,(11:30am-2pm),Whipped Cream Cheese,50,2 tbsp,toasted,byo_breakfast,extra
Huffman,Lunch,(11:30am-2pm),Sun Butter,100,1 tbsp,toasted,byo_breakfast,unknown
Huffman,Lunch,(11:30am-2pm),Peanut Butter,0,1 each,toasted,byo_breakfast,unknown
Huffman,Lunch,(11:30am-2pm),Grape Jelly,50,1 tbsp,toasted,byo_breakfast,unknown
Huffman,Lunch,(11:30am-2pm),Strawberry Jelly,50,1 tbsp,toasted,byo_breakfast,topping
Huffman,Lunch,(11:30am-2pm),Orange Marmalade,50,1 tbsp,toasted,byo_breakfast,topping
Huffman,Lunch,(11:30am-2pm),Butter,100,1 tbsp,toasted,byo_breakfast,unknown
Huffman,Lunch,(11:30am-2pm),Belgian Waffle,200,1 each,waffle bar,byo_breakfast,base
Huffman,Lunch,(11:30am-2pm),Maple Syrup,60,1 tbsp,waffle bar,byo_breakfast,unknown
Huffman,Lunch,(11:30am-2pm),Chocolate Chips,120,2 tbsp,waffle bar,byo_breakfast,unknown
Huffman,Lunch,(11:30am-2pm),Mini Marshmallow,20,2 tbsp,waffle bar,byo_breakfast,unknown
Huffman,Lunch,(11:30am-2pm),Chocolate Sauce,140,2 floz,waffle bar,byo_breakfast,sauce
Huffman,Lunch,(11:30am-2pm),2% Milk,130,8 floz,milks & cereals,dessert_beverage,beverage
Huffman,Lunch,(11:30am-2pm),Chocolate Milk,0,8 floz,milks & cereals,dessert_beverage,beverage
Huffman,Lunch,(11:30am-2pm),Chocolate Peamilk,140,1 cup,milks & cereals,dessert_beverage,beverage
Huffman,Lunch,(11:30am-2pm),Oatmilk,140,1 cup,milks & cereals,dessert_beverage,beverage
Huffman,Lunch,(11:30am-2pm),Soymilk,110,1 cup,milks & cereals,dessert_beverage,beverage
Huffman,Lunch,(11:30am-2pm),Rice Chex Cereal,160,1 cup,milks & cereals,dessert_beverage,topping
Huffman,Lunch,(11:30am-2pm),Fruit Loops Cereal,850,,milks & cereals,dessert_beverage,topping
Huffman,Lunch,(11:30am-2pm),Raisin Bran Cereal,200,1 cup,milks & cereals,dessert_beverage,topping
Huffman,Lunch,(11:30am-2pm),Apple Jacks Cereal,170,1 cup,milks & cereals,dessert_beverage,topping
Huffman,Lunch,(11:30am-2pm),Rice Krispies,110,1 cup,milks & cereals,dessert_beverage,dessert
Huffman,Lunch,(11:30am-2pm),Cocoa Puffs,140,1 cup,milks & cereals,dessert_beverage,topping
Huffman,Lunch,(11:30am-2pm),Cinnamon Toast Crunch Cereal,170,1 cup,milks & cereals,dessert_beverage,topping
Huffman,Lunch,(11:30am-2pm),Frosted Flakes,890,,milks & cereals,dessert_beverage,topping
Huffman,Lunch,(11:30am-2pm),Cheerios Cereal,70,1 cup,milks & cereals,dessert_beverage,topping
Huffman,Lunch,(11:30am-2pm),Rice Krispies,110,1 cup,milks & cereals,dessert_beverage,dessert
Huffman,Lunch,(11:30am-2pm),Coke,0,12 floz,hydration station,dessert_beverage,topping
Huffman,Lunch,(11:30am-2pm),Starry,0,12 floz,hydration station,dessert_beverage,topping
Huffman,Lunch,(11:30am-2pm),Diet Coke,0,12 floz,hydration station,dessert_beverage,topping
Huffman,Lunch,(11:30am-2pm),Diet Pepsi,0,12 floz,hydration station,dessert_beverage,topping
Huffman,Lunch,(11:30am-2pm),Cherry Pepsi,0,12 floz,hydration station,dessert_beverage,topping
Huffman,Lunch,(11:30am-2pm),Fanta Orange Soda,0,12 floz,hydration station,dessert_beverage,topping
Huffman,Lunch,(11:30am-2pm),Mountain Dew,0,12 floz,hydration station,dessert_beverage,topping
Huffman,Lunch,(11:30am-2pm),Hi-C Fruit Punch,0,12 floz,hydration station,dessert_beverage,topping
Huffman,Lunch,(11:30am-2pm),Mountain Blast Powerade,0,12 floz,hydration station,dessert_beverage,topping
Huffman,Lunch,(11:30am-2pm),Tractor Beverage Peach,10,12 floz,hydration station,dessert_beverage,beverage
Huffman,Lunch,(11:30am-2pm),Tractor Beverage Lemonade,170,12 floz,hydration station,dessert_beverage,beverage
Huffman,Lunch,(11:30am-2pm),Tractor Beverage Hibiscus Rose,15,12 floz,hydration station,dessert_beverage,beverage
Huffman,Lunch,(11:30am-2pm),Apple Juice,0,8 floz,hydration station,dessert_beverage,beverage
Huffman,Lunch,(11:30am-2pm),Cranberry Juice,0,8 floz,hydration station,dessert_beverage,beverage
Huffman,Lunch,(11:30am-2pm),Orange Juice,100,8 floz,hydration station,dessert_beverage,beverage
Huffman,Lunch,(11:30am-2pm),Brewed Coffee,0,8 floz,hydration station,dessert_beverage,beverage
