Hall,Category,Time,Dish,Calories,Serving Size,Station,AutoCategory
Huffman,Lunch,(11:30am-2pm),Rice Vinegar & Soy Sauce Oil,50,1 floz,street eats,main-carb 0.49
Huffman,Lunch,(11:30am-2pm),Chocolate Chip Cookies,180,1 each,sweets & treats,dessert 0.71
Huffman,Lunch,(11:30am-2pm),Carnival Cookie,130,1 each,sweets & treats,dessert 0.60
Huffman,Lunch,(11:30am-2pm),Black Forest Brownie,310,1 each,sweets & treats,dessert 0.47
Huffman,Lunch,(11:30am-2pm),Plain Bagel,0,,toasted,main-carb 0.76
Huffman,Lunch,(11:30am-2pm),Everything Bagel,310,1 each,toasted,main-carb 0.65
Huffman,Lunch,(11:30am-2pm),Cinnamon Raisin Bagel,230,,toasted,main-carb 0.71
Huffman,Lunch,(11:30am-2pm),Whole Wheat Bread,80,,toasted,main-carb 0.67
Huffman,Lunch,(11:30am-2pm),White Bread,150,1 slice,toasted,main-carb 0.71
Huffman,Lunch,(11:30am-2pm),English Muffin,110,,toasted,main-carb 0.61
Huffman,Lunch,(11:30am-2pm),Made Without Gluten Bread,80,,toasted,main-carb 0.52
Huffman,Lunch,(11:30am-2pm),Made without Gluten Bagel,0,,toasted,other 0.59
Huffman,Lunch,(11:30am-2pm),Cream Cheese,70,1 oz,toasted,topping 0.79
Huffman,Lunch,(11:30am-2pm),Sun Butter,100,1 tbsp,toasted,topping 0.62
Huffman,Lunch,(11:30am-2pm),Peanut Butter,0,1 each,toasted,topping 0.70
Huffman,Lunch,(11:30am-2pm),Grape Jelly,50,1 tbsp,toasted,topping 0.68
Huffman,Lunch,(11:30am-2pm),Strawberry Jelly,50,1 tbsp,toasted,dessert 0.67
Huffman,Lunch,(11:30am-2pm),Butter,100,1 tbsp,toasted,topping 0.67
Huffman,Lunch,(11:30am-2pm),Belgian Waffle,0,1 each,waffle bar,main-carb 0.62
Huffman,Lunch,(11:30am-2pm),Maple Syrup,40,1 tbsp,waffle bar,topping 0.62
Huffman,Lunch,(11:30am-2pm),Chocolate Chips,120,2 tbsp,waffle bar,dessert 0.68
Huffman,Lunch,(11:30am-2pm),Mini Marshmallow,20,2 tbsp,waffle bar,other 0.38
Huffman,Lunch,(11:30am-2pm),Hershey's Chocolate Syrup,190,2 floz,waffle bar,dessert 0.61
Huffman,Lunch,(11:30am-2pm),2% Milk,130,8 floz,Milks & Cereals,beverage 0.70
Huffman,Lunch,(11:30am-2pm),Chocolate Milk,0,8 floz,Milks & Cereals,beverage 0.83
Huffman,Lunch,(11:30am-2pm),Chocolate Peamilk,140,1 cup,Milks & Cereals,beverage 0.84
Huffman,Lunch,(11:30am-2pm),Oatmilk,130,1 cup,Milks & Cereals,beverage 0.80
Huffman,Lunch,(11:30am-2pm),Soymilk,100,1 cup,Milks & Cereals,beverage 0.80
Huffman,Lunch,(11:30am-2pm),Rice Chex Cereal,160,1 cup,Milks & Cereals,main-carb 0.60
Huffman,Lunch,(11:30am-2pm),Fruit Loops Cereal,120,,Milks & Cereals,other 0.58
Huffman,Lunch,(11:30am-2pm),Raisin Bran Cereal,0,1 cup,Milks & Cereals,main-carb 0.61
Huffman,Lunch,(11:30am-2pm),Apple Jacks Cereal,170,1 cup,Milks & Cereals,dessert 0.60
Huffman,Lunch,(11:30am-2pm),Rice Krispies,110,1 cup,Milks & Cereals,main-carb 0.64
Huffman,Lunch,(11:30am-2pm),Cocoa Puffs,140,1 cup,Milks & Cereals,dessert 0.60
Huffman,Lunch,(11:30am-2pm),Cinnamon Toast Crunch Cereal,170,1 cup,Milks & Cereals,main-carb 0.60
Huffman,Lunch,(11:30am-2pm),Frosted Flakes,150,,Milks & Cereals,dessert 0.68
Huffman,Lunch,(11:30am-2pm),Banana Cream Pie Ice Cream,270,0.5 cup,Velvet Ice Cream Bar,dessert 0.82
Huffman,Lunch,(11:30am-2pm),Birthday Cake Ice Cream,280,0.5 cup,Velvet Ice Cream Bar,dessert 0.81
Huffman,Lunch,(11:30am-2pm),Campfire S'mores Ice Cream,340,0.5 cup,Velvet Ice Cream Bar,dessert 0.67
Huffman,Lunch,(11:30am-2pm),Chocolate Ice Cream,0,0.66 cup,Velvet Ice Cream Bar,dessert 0.88
Huffman,Lunch,(11:30am-2pm),Coffee Ice Cream,240,1 serving,Velvet Ice Cream Bar,dessert 0.78
Huffman,Lunch,(11:30am-2pm),Cookies & Cream Ice Cream,260,0.5 cup,Velvet Ice Cream Bar,dessert 0.82
Huffman,Lunch,(11:30am-2pm),Cotton Candy Ice,600,0.5 cup,Velvet Ice Cream Bar,dessert 0.73
