Hall,Category,Time,Dish,Calories,Serving Size,Station
Huffman,Lunch,(11:30am-2pm),Banana Cream Pie Ice Cream,270,0.5 cup,velvet ice cream bar
Huffman,Lunch,(11:30am-2pm),Birthday Cake Ice Cream,280,0.5 cup,velvet ice cream bar
Huffman,Lunch,(11:30am-2pm),Campfire S'mores Ice Cream,340,0.5 cup,velvet ice cream bar
Huffman,Lunch,(11:30am-2pm),Chocolate Ice Cream,0,0.66 cup,velvet ice cream bar
Huffman,Lunch,(11:30am-2pm),Coffee Ice Cream,240,1 serving,velvet ice cream bar
Huffman,Lunch,(11:30am-2pm),Cookies & Cream Ice Cream,260,0.5 cup,velvet ice cream bar
Huffman,Lunch,(11:30am-2pm),Cotton Candy Ice,600,0.5 cup,velvet ice cream bar
Huffman,Lunch,(11:30am-2pm),Mint Chocolate Chip Ice Cream,260,0.5 cup,velvet ice cream bar
Huffman,Lunch,(11:30am-2pm),Orange Pineapple Ice Cream,240,0.5 cup,velvet ice cream bar
Huffman,Lunch,(11:30am-2pm),Pumpkin Pie Ice Cream,260,0.5 cup,velvet ice cream bar
Huffman,Lunch,(11:30am-2pm),Rainbow Sherbet,170,0.5 cup,velvet ice cream bar
Huffman,Lunch,(11:30am-2pm),Raspberry Fudge Cordial Ice Cream,290,0.5 cup,velvet ice cream bar
Huffman,Lunch,(11:30am-2pm),Strawberry Ice Cream,230,1 serving,velvet ice cream bar
Huffman,Lunch,(11:30am-2pm),Strawberry Cheesecake Ice Cream,260,0.5 cup,velvet ice cream bar
Huffman,Lunch,(11:30am-2pm),Summertime Peach Ice Cream,240,0.5 cup,velvet ice cream bar
Huffman,Lunch,(11:30am-2pm),Triple Chocolate Chunk Ice Cream,320,0.5 cup,velvet ice cream bar
Huffman,Lunch,(11:30am-2pm),Pretzel Sticks,0,1 serving,velvet ice cream bar
Huffman,Lunch,(11:30am-2pm),Graham Cracker Crumbs,30,1 tbsp,velvet ice cream bar
Huffman,Lunch,(11:30am-2pm),Oreo Cookie Crumbs,70,2 tbsp,velvet ice cream bar
Huffman,Lunch,(11:30am-2pm),Rainbow Sprinkles,60,1 tbsp,velvet ice cream bar
Huffman,Lunch,(11:30am-2pm),Strawberry Syrup,60,,velvet ice cream bar
Huffman,Lunch,(11:30am-2pm),Caramel Syrup,0,,velvet ice cream bar
Huffman,Lunch,(11:30am-2pm),Hershey's Chocolate Syrup,190,2 floz,velvet ice cream bar
Huffman,Dinner,(5pm-9pm),Grilled Ancho-Lime Chicken,170,3 oz,fueld
Huffman,Dinner,(5pm-9pm),Cilantro Lime Brown Rice,140,0.5 cup,fueld
Huffman,Dinner,(5pm-9pm),Seasoned Black Beans,90,0.5 cup,fueld
Huffman,Dinner,(5pm-9pm),Roasted Autumn Vegetables,80,0.5 cup,fueld
Huffman,Dinner,(5pm-9pm),Honey Roasted Carrots,120,0.5 cup,fueld
